Letter Date,Issue Date,Company,URL,Issuing Office,Snippet
09/03/2024,08/27/2024,SoloVital,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/solovital-688046-08272024,Center for Drug Evaluation and Research (CDER),… of “Umary” demonstrates that the product is marketed as a dietary supplement. 2 Under sections 201(ff)(3)(B)(i) and (ii) of the … containing that substance are outside the definition of a dietary supplement. There is an exception if the substance …
09/03/2024,08/27/2024,MexHealth LLC d/b/a Al Natural E-Shop,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/mexhealth-llc-dba-al-natural-e-shop-682383-08272024,Center for Drug Evaluation and Research (CDER),… demonstrates that the product is marketed as a dietary supplement. 2 Under sections 201(ff)(3)(B)(i) and (ii) of the … containing that substance are outside the definition of a dietary supplement. There is an exception if the substance …
08/13/2024,07/24/2024,Txsyn Int. LLC,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/txsyn-int-llc-677014-07242024,Division of Human and Animal Food Operations West III,"… 19, 2024, and we address your responses below. Adulterated Dietary Supplements The inspection of your facility on … Packaging, Labeling, or Holding Operations for Dietary Supplements, under Title 21, Code of Federal … that you retain reserve samples of your repacked dietary supplement products for a period of (b)(4) . Under 21 CFR …"
07/23/2024,06/12/2024,"West Coast Laboratories, Inc.",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/west-coast-laboratories-inc-672954-06122024,Division of Human and Animal Food Operations West V,"… 7, 2023, response below, where relevant. Adulterated Dietary Supplements The inspection of your facility from … Packaging, Labeling, or Holding Operations for Dietary Supplements, under Title 21, Code of Federal … of (b)(4) used in the Chromium Picolinate dietary supplement. e. For Calcium Pyruvate you do not have …"
07/23/2024,07/09/2024,"Formulation Technology, Inc.",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/formulation-technology-inc-672905-07092024,Division of Human and Animal Food Operations West V,"… that the drug is safe and effective. Adulterated Dietary Supplements The inspection of your facility on … Packaging, Labeling, or Holding Operations for Dietary Supplements, Title 21, Code of Federal Regulations … your (b)(4) product is likewise an adulterated dietary supplement for the same reason. Your significant violations …"
07/23/2024,07/11/2024,"White Label Leaf, LLC/Flying Monkey US, LLC",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/white-label-leaf-llcflying-monkey-us-llc-681493-07112024,Center for Food Safety and Applied Nutrition (CFSAN),… or the Meat Inspection Act; (5) new animal drugs; and (6) dietary ingredients in or intended for use in a dietary supplement. … Center for Food Safety and Applied Nutrition …
07/16/2024,07/15/2024,Life Leaf Medical CBD Center,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/life-leaf-medical-cbd-center-674917-07152024,Center for Food Safety and Applied Nutrition (CFSAN),"… or the Meat Inspection Act), (5) new animal drugs, and (6) dietary ingredients in or intended for use in a dietary supplement.     Food additives require premarket approval …"
07/16/2024,07/15/2024,Shamrockshrooms.com,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/shamrockshroomscom-675517-07152024,Center for Food Safety and Applied Nutrition (CFSAN),"… or the Meat Inspection Act), (5) new animal drugs, and (6) dietary ingredients in or intended for use in a dietary supplement.     Food additives require premarket approval …"
07/16/2024,07/15/2024,Earthly Hemps,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/earthly-hemps-674916-07152024,Center for Food Safety and Applied Nutrition (CFSAN),"… or the Meat Inspection Act), (5) new animal drugs, and (6) dietary ingredients in or intended for use in a dietary supplement.     Food additives require premarket approval …"
07/16/2024,07/15/2024,Mary Jane's Bakery Co. LLC,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/mary-janes-bakery-co-llc-678010-07152024,Center for Food Safety and Applied Nutrition (CFSAN),"… or the Meat Inspection Act), (5) new animal drugs, and (6) dietary ingredients in or intended for use in a dietary supplement.     Food additives require premarket approval …"
07/16/2024,07/15/2024,Hippy Mood,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/hippy-mood-677031-07152024,Center for Food Safety and Applied Nutrition (CFSAN),"… or the Meat Inspection Act), (5) new animal drugs, and (6) dietary ingredients in or intended for use in a dietary supplement.     Food additives require premarket approval …"
07/16/2024,07/15/2024,"Grow God, LLC",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/grow-god-llc-674690-07152024,Center for Food Safety and Applied Nutrition (CFSAN),"… or the Meat Inspection Act), (5) new animal drugs, and (6) dietary ingredients in or intended for use in a dietary supplement.     Food additives require premarket approval …"
07/09/2024,06/25/2024,"Natural Ginger, Corp/Jonaus Corp",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/natural-ginger-corpjonaus-corp-679765-06252024,Division of Human and Animal Food Operations East IV,"… section of your product webpage: “This cough syrup is a dietary supplement which has a generous mix of honey, ginger and Aloe … the “Description” section of your product webpage: “This dietary supplement has a generous mix of honey and ginger …"
05/28/2024,05/09/2024,"Biomic Sciences, LLC dba ION Intelligence of Nature",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/biomic-sciences-llc-dba-ion-intelligence-nature-667601-05092024,Division of Human and Animal Food Operations East II,… ensure ongoing CGMP compliance. Adulterated & Misbranded Dietary Supplements Adulterated Low Acid Canned Food Dietary Supplements The inspection of your facility on June … Violations of Dietary Supplement CGMPs The inspection of your facility from June 12 …
05/14/2024,03/01/2024,"Carbon Fire, LLC",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/carbon-fire-llc-664700-03012024,Center for Food Safety and Applied Nutrition (CFSAN),"… 213° Metabolism Boosting Complex, which is labeled as a dietary supplement. Your product labeling declares N-Methyltyramine as a dietary ingredient in 213° Metabolism Boosting Complex. As …"
05/07/2024,04/18/2024,"APG SEVEN, INC",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/apg-seven-inc-670020-04182024,Division of Human and Animal Food Operations East IV,"… Administration (FDA) obtained samples and labeling of your dietary supplement products “BioMoringa” and “BioDiabetin,” purchased …"
04/02/2024,12/05/2023,"Ambaya Gold Health Products, LLC",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/ambaya-gold-health-products-llc-648130-12052023,Division of Human and Animal Food Operations West IV,"… it. One study of 100 people…found that treatment with a supplement containing MSM for 12 weeks lessened pain, … and “Magnesium Oil Spray” products to be marketed as dietary supplements. Your firm lists these two products on … of the FD&C Act [21 U.S.C. § 321(ff)(2)(A)(i)], a dietary supplement is defined, among other things, as a …"
03/05/2024,06/15/2023,"Healthtex Distributors, Inc.",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/healthtex-distributors-inc-654453-06152023,Division of Human and Animal Food Operations East IV,"… The U.S. Food and Drug Administration (FDA) inspected your dietary supplement warehouse and distribution facility, located at … Packaging, Labeling, or Holding Operations for Dietary Supplements, under Title 21, Code of Federal …"
02/13/2024,12/21/2023,Curtis Jacquot dba Pacific BioLogic Co.,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/curtis-jacquot-dba-pacific-biologic-co-664804-12212023,Division of Human and Animal Food Operations West V,"… Packaging, Labeling, or Holding Operations for Dietary Supplements, Title 21, Code of Federal Regulations … • “This formula is recommended to be included in a supplement support program when treating chronic … 301(a) of the Act [21 U.S.C. § 331(a)]. Adulterated Dietary Supplements Your dietary supplement products are …"
02/06/2024,01/30/2024,"Inmar Supply Chain Solutions, LLC",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/inmar-supply-chain-solutions-llc-666158-01302024,Division of Human and Animal Food Operations West III,… CFR Part 117). These violations cause your human food and dietary supplement products to be adulterated within the meaning of …
01/02/2024,11/06/2023,Lone Star Botanicals Inc.,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/lone-star-botanicals-inc-659735-11062023,Division of Human and Animal Food Operations East III,"… blood sugar” o “Reduces inflammation” o “This powerful supplement is proven to stabilize blood sugar…reduce … products do not include Sodium, Total Carbohydrates, Dietary Fiber, Total Sugars, Added Sugars, Vitamin D, … labels also contain the statement, “Statements regarding dietary supplement have not been evaluated by the FDA and are …"
12/26/2023,12/20/2023,"Amazon.com, Inc.",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/amazoncom-inc-662503-12202023,Center for Drug Evaluation and Research | CDER,"… “Round 2,” “WeFun,” “Genergy,” “Big Guys Male Energy Supplement,” “Mens Maximum Energy Supplement,” and “X Max … demonstrates that these products are marketed as dietary supplements 4 . However, these products do not meet the definition of “dietary supplement” under section 201(ff) of the FD&C Act, 21 …"
12/26/2023,12/20/2023,"Hua Da Trading, Inc.",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/hua-da-trading-inc-664359-12202023,Center for Drug Evaluation and Research | CDER,"… product demonstrates that this product is marketed as a dietary supplement. However, under section 201(ff)(3)(B)(i) of the FD&C Act, 21 U.S.C. 321(ff)(3)(B)(i), a dietary supplement may not include an article that is …"
12/26/2023,12/21/2023,Botanical Be,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/botanical-be-671066-12212023,Center for Drug Evaluation and Research | CDER,… Flex” demonstrates that the products are marketed as dietary supplements. 1 Under sections 201(ff)(3)(B)(i) and … containing that substance are outside the definition of a dietary supplement. There is an exception if the substance was …
12/05/2023,09/28/2023,"GCHNC LLC dba Hemp XR/Gate City Hemp dba Hemp XR/Allaziya Enterprises, LLC dba Hemp XR",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/gchnc-llc-dba-hemp-xrgate-city-hemp-dba-hemp-xrallaziya-enterprises-llc-dba-hemp-xr-656057-09282023,Center for Food Safety and Applied Nutrition (CFSAN),"… or the Meat Inspection Act), (5) new animal drugs, and (6) dietary ingredients in or intended for use in a dietary supplement. 2 CBD is the active ingredient in the approved …"
11/21/2023,11/16/2023,"Discover Health, LLC d/b/a Discover CBD and Strain Snobs",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/discover-health-llc-dba-discover-cbd-and-strain-snobs-661488-11162023,Center for Drug Evaluation and Research | CDER,"… dose or two of CDB oil for pets can help satisfy a dog’s dietary requirements.” Therefore, the introduction or … injunction. We offer the following additional comments: Dietary Supplement Labeling Information on your website at …"
11/14/2023,10/18/2023,Natural Relief Inc.,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/natural-relief-inc-659048-10182023,Division of Human and Animal Food Operations East V,"… section 301(a) of the Act [21 U.S.C. 331(a)]. Adulterated Dietary Supplements Even if your Edema NatRelief 6 and BP … and misbranded drugs, these products would be adulterated dietary supplements under section 402(g)(1) of the Act. The … control is necessary to ensure the quality of the dietary supplement and that the dietary supplement is packaged and …"
11/07/2023,08/04/2023,Biorica International Corp.,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/biorica-international-corp-659194-08042023,Center for Food Safety and Applied Nutrition (CFSAN),… that you take orders there for the product Plaquex® Oral Dietary Supplement. Your websites at https://www.plaquex.com/ and … to purchase your product Plaquex® Oral Dietary Supplement. Your website …
11/07/2023,09/01/2023,"InnoMark, Inc.",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/innomark-inc-657518-09012023,Division of Human and Animal Food Operations West IV,"… in relation to the applicable violation. Adulterated Dietary Supplements During the inspection, our investigators … Packaging, Labeling, or Holding Operations for Dietary Supplements. These violations cause the (b)(4) , and … are as follows: 1. You failed to, for each dietary supplement that you manufacture, establish product …"
10/25/2023,10/24/2023,Abbott Laboratories,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/abbott-laboratories-669353-10242023,Center for Biologics Evaluation and Research (CBER),"… Probiotic Tri-Blend (hereinafter Similac Probiotic Supplement or your product), which contains instructions on … §§321(s) and 348]; and S. thermophilus (TH-4®), a new dietary ingredient for which there is inadequate information … have violated the FD&C Act and the PHS Act. Adulterated Dietary Supplement In addition to your Similac Probiotic …"
09/19/2023,08/01/2023,"Moorish Science Temple, The Divine and National Movement of North America, Inc; #13 The Moorish American National Republic dba Moor Herbs, Inc.",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/moorish-science-temple-divine-and-national-movement-north-america-inc-13-moorish-american-national,Division of Human and Animal Food Operations East VI,"… 301(a) of the FD&C Act [21 U.S.C. 331(a)]. Adulterated Dietary Supplements The dietary supplements manufactured at your facility are … component that you use in the manufacture of a dietary supplement: (1) identity specifications, as required by 21 …"
09/05/2023,08/23/2023,"Osmosis, LLC",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/osmosis-llc-652059-08232023,Division of Human and Animal Food Operations East IV,"… harmonize your pancreas with our Sugar Detox Elixir. This supplement is especially vital for those who have diabetes…” … violates section 301(a) of the Act [21 U.S.C. § 331(a)]. Dietary Supplement CGMP Violations During the inspection, our … Packaging, Labeling, or Holding Operations for Dietary Supplements, under Title 21, Code of Federal …"
08/29/2023,05/03/2023,Cosmax NBT USA,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/cosmax-nbt-usa-615933-05032023,Division of Human and Animal Food Operations West III,"… following each of the significant violations. Adulterated Dietary Supplements The inspection of your facility revealed … Packaging, Labeling, or Holding Operations for Dietary Supplements under Title 21, Code of Federal … Part 111 (21 CFR 111). These violations cause your dietary supplement products to be adulterated within the meaning of …"
08/15/2023,06/02/2023,"Hekma Center, LLC",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/hekma-center-llc-637652-06022023,Center for Food Safety and Applied Nutrition (CFSAN),"… social media websites, https://www.facebook.com/hekmac.supplement, https://www.instagram.com/hekma.c, … is indicated: 1. for Osteoporosis. It is a very important dietary supplement for women above the age of 45. Moringa may … because it is rich in easily absorbed calcium… 3. as a dietary supplement to strengthen the immune system against …"
08/15/2023,04/07/2023,STPCA Inc. dba Sun Ten Laboratories,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/stpca-inc-dba-sun-ten-laboratories-645336-04072023,Division of Human and Animal Food Operations West V,"… section 301(a) of the Act [21 U.S.C. 331(a)]. Adulterated Dietary Supplements The facility inspection revealed serious … Packaging, Labeling, or Holding Operations for Dietary Supplements, under Title 21, Code of Federal … control is necessary to ensure the quality of the dietary supplement and that the dietary supplement is packaged and …"
07/25/2023,07/21/2023,"Gadget Island, Inc.",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/gadget-island-inc-658733-07212023,Center for Drug Evaluation and Research | CDER,"… products demonstrates that these products are marketed as dietary supplements. However, under section 201(ff)(3)(B)(i) … of the FD&C Act, 21 U.S.C. 321(ff)(3)(B)(i), a dietary supplement may not include an article that is …"
07/25/2023,07/07/2023,"Northland Vapor Company, LLC",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/northland-vapor-company-llc-648568-07072023,Division of Human and Animal Food Operations West I,… or the Meat Inspection Act; (5) new animal drugs; and (6) dietary ingredients in or intended for use in a dietary supplement. … Division of Human and Animal Food Operations …
07/25/2023,07/18/2023,"Koi CBD, LLC",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/koi-cbd-llc-651252-07182023,Division of Human and Animal Food Operations West V,"… or the Meat Inspection Act), (5) new animal drugs, and (6) dietary ingredients in or intended for use in a dietary supplement. … Division of Human and Animal Food Operations …"
07/18/2023,06/28/2023,"Eden’s Answers, Inc.",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/edens-answers-inc-648182-06282023,Division of Human and Animal Food Operations East V,"… Violations of the CGMPs for the Manufacturing of Dietary Supplements The inspection of your facility from … Packaging, Labeling, or Holding Operations for Dietary Supplements, under Title 21, Code of Federal … for each component you use in the manufacture of a dietary supplement, as required by 21 CFR 111.70(b)(1), and you …"
07/11/2023,03/17/2023,"Brand Packaging Group, Inc.",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/brand-packaging-group-inc-633651-03172023,Division of Human and Animal Food Operations East I,"… Packaging, Labeling, or Holding Operations for Dietary Supplements, under Title 21, Code of Federal … Part 111 (21 CFR Part 111). These violations cause your dietary supplement products, including your (b)(4) , and (b)(4) to be …"
07/05/2023,06/29/2023,Exclusive Hemp Farms/Oshipt.com,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/exclusive-hemp-farmsoshiptcom-648877-06292023,Center for Food Safety and Applied Nutrition (CFSAN),"… or the Meat Inspection Act), (5) new animal drugs, and (6) dietary ingredients in or intended for use in a dietary supplement. 3 See, e.g ., Marit Tweet et al., Pediatric …"
07/05/2023,06/29/2023,"North Carolina Hemp Exchange, LLC dba NC Hemp Shoppe",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/north-carolina-hemp-exchange-llc-dba-nc-hemp-shoppe-649018-06292023,Center for Food Safety and Applied Nutrition (CFSAN),"… or the Meat Inspection Act), (5) new animal drugs, and (6) dietary ingredients in or intended for use in a dietary supplement. 3 See, e.g., Marit Tweet et al., Pediatric Edible …"
07/05/2023,06/29/2023,"Nikte’s Wholesale, LLC",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/niktes-wholesale-llc-649469-06292023,Center for Food Safety and Applied Nutrition (CFSAN),"… or the Meat Inspection Act), (5) new animal drugs, and (6) dietary ingredients in or intended for use in a dietary supplement. 3 See, e.g ., Marit Tweet et al., Pediatric …"
07/05/2023,06/29/2023,The Haunted Vapor Room,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/haunted-vapor-room-648878-06292023,Center for Food Safety and Applied Nutrition (CFSAN),"… or the Meat Inspection Act), (5) new animal drugs, and (6) dietary ingredients in or intended for use in a dietary supplement. 3 See, e.g ., Marit Tweet et al., Pediatric …"
07/05/2023,06/29/2023,Delta Munchies LLC,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/delta-munchies-llc-656322-06292023,Center for Food Safety and Applied Nutrition (CFSAN),"… or the Meat Inspection Act), (5) new animal drugs, and (6) dietary ingredients in or intended for use in a dietary supplement. 3 See, e.g ., Marit Tweet et al., Pediatric …"
07/05/2023,06/29/2023,"Dr. Smoke, LLC aka Dr. S, LLC",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/dr-smoke-llc-aka-dr-s-llc-648825-06292023,Center for Food Safety and Applied Nutrition (CFSAN),"… or the Meat Inspection Act), (5) new animal drugs, and (6) dietary ingredients in or intended for use in a dietary supplement. 3 See, e.g ., Marit Tweet et al., Pediatric …"
06/27/2023,06/22/2023,Suprimo Imports,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/suprimo-imports-657631-06222023,Center for Drug Evaluation and Research | CDER,… “AK Forte” demonstrates that the product is marketed as a dietary supplement. 2 Under sections 201(ff)(3)(B)(i) and (ii) of the … containing that substance are outside the definition of a dietary supplement. There is an exception if the substance …
06/13/2023,06/01/2023,"A&Z Pharmaceutical, Inc.",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/az-pharmaceutical-inc-645101-06012023,Division of Human and Animal Food Operations East I,… and Animal Food Operations East I … New Drug/Misbranded … Dietary Supplements … Food & Beverages …
05/16/2023,04/27/2023,"EarthLab, Inc., dba Wise Woman Herbals",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/earthlab-inc-dba-wise-woman-herbals-634872-04272023,Division of Human and Animal Food Operations West VI,"… 301(a) of the Act [21 U.S.C. § 331(a)]. Adulterated Dietary Supplements FDA’s above-mentioned inspection revealed … Packaging, Labeling, or Holding Operations for Dietary Supplements, under Title 21, Code of Federal … control is necessary to ensure the quality of the dietary supplement and that the dietary supplement is packaged and …"
05/02/2023,04/11/2023,"Juicer Connections, Inc.",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/juicer-connections-inc-648714-04112023,Division of Human and Animal Food Operations West V,"… As such, all of the nutrient information is incorrect. The dietary fiber and total sugars amounts are not declared in … please see the additional explanation in “Nutrition and Supplement Facts Labels: Questions and Answers Related to the …"
05/02/2023,04/27/2023,"Tager Online, Inc. DBA Volt Candy; Volt Candy Wholesale Club",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/tager-online-inc-dba-volt-candy-volt-candy-wholesale-club-652780-04272023,Center for Drug Evaluation and Research | CDER,"… Black 6000” product demonstrates that it is marketed as a dietary supplement. However, under section 201(ff)(3)(B)(i) of the FD&C Act, 21 U.S.C. 321(ff)(3)(B)(i), a dietary supplement may not include an article that is …"
04/25/2023,03/08/2023,Spartan Enterprises Inc. dba Watershed Wellness Center,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/spartan-enterprises-inc-dba-watershed-wellness-center-642030-03082023,Division of Human and Animal Food Operations East VI,"… The U.S. Food and Drug Administration (FDA) inspected your dietary supplement manufacturing facility, located at 16280 National … 301(a) of the Act [21 U.S.C. § 331(a)]. Adulterated Dietary Supplements The inspection revealed serious …"
04/18/2023,04/06/2023,"SCS Direct, Inc.",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/scs-direct-inc-633509-04062023,Center for Food Safety and Applied Nutrition (CFSAN),"… Uplift Max and Shred Her Max, which are labeled as dietary supplements. As explained further below, introducing … Act (the FD&C Act) because the products are adulterated dietary supplements. You can find the FD&C Act through links … . Adulterated Dietary Supplement: Unsafe Food Additive The labels of your products …"
04/18/2023,04/04/2023,ByPro Nutrition LLC,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/bypro-nutrition-llc-646308-04042023,Division of Human and Animal Food Operations West II,"… benefits of Dodecin™.” “Dodecin™ is a nutraceutical supplement developed by a physician who, like you, is a … “Dodecin™ is a physician formulated nutraceutical (dietary supplement) designed to address pain and inflammation …"
04/04/2023,11/22/2022,"Aspire Pharmaceuticals, Inc.",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/aspire-pharmaceuticals-inc-630328-11222022,Division of Human and Animal Food Operations East II,"… Administration (FDA) conducted a joint inspection of your dietary supplement and drug manufacturing facility, located at 37 & … below, in relation to each of the noted violations. Dietary Supplement cGMP Violations During the inspection, our …"
03/28/2023,11/07/2022,Todos Medical Ltd aka Todos Medical USA Inc,https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/todos-medical-ltd-aka-todos-medical-usa-inc-626258-11072022,Center for Food Safety and Applied Nutrition (CFSAN),"… exclusive distribution rights to the immune boosting, dietary supplement Tollovid™ and is developing Tollovir,™ a highly … also designed to support immune function. They also have a dietary supplement made of the same active ingredient that …"
03/21/2023,03/07/2023,"Herbal Vitality, Inc.",https://www.fda.gov/inspections-compliance-enforcement-and-criminal-investigations/warning-letters/herbal-vitality-inc-640206-03072023,Division of Human and Animal Food Operations West IV,"… violates section 301(a) of the Act [21 U.S.C. § 331(a)]. Dietary Supplement CGMP Violations During the inspection, our … Packaging, Labeling, or Holding Operations for Dietary Supplements, under Title 21, Code of Federal …"
